X,Y,Photon Count,ADU Value
0,0,2,33.989164699681766
0,2,2,41.989164699681766
1,0,2,26.989164699681766
1,2,2,45.989164699681766
2,0,2,21.989164699681766
2,2,2,41.989164699681766
0,309,1,21.989164699681766
0,310,1,35.989164699681766
1,309,1,21.989164699681766
1,310,1,26.989164699681766
2,310,1,23.989164699681766
0,815,2,100.98916469968177
0,816,2,29.989164699681766
0,817,2,37.989164699681766
1,816,2,34.989164699681766
1,0,2,26.989164699681766
1,2,2,45.989164699681766
2,0,2,21.989164699681766
2,2,2,41.989164699681766
3,0,2,26.989164699681766
3,2,2,39.989164699681766
4,0,2,26.989164699681766
4,2,2,39.989164699681766
5,0,2,24.989164699681766
5,2,2,40.989164699681766
6,0,2,30.989164699681766
6,2,2,42.989164699681766
4,2,1,39.989164699681766
5,2,1,40.989164699681766
6,2,1,42.989164699681766
6,4,1,24.989164699681766
5,0,2,24.989164699681766
5,2,2,40.989164699681766
6,0,2,30.989164699681766
6,2,2,42.989164699681766
7,0,2,25.989164699681766
7,2,2,34.989164699681766
6,1513,2,27.989164699681766
6,1514,2,24.989164699681766
7,1512,2,26.989164699681766
7,1514,2,78.98916469968177
6,1513,2,27.989164699681766
6,1514,2,24.989164699681766
6,1515,2,25.989164699681766
7,1514,2,78.98916469968177
7,1515,2,26.989164699681766
5,1516,2,26.989164699681766
6,1514,2,24.989164699681766
6,1515,2,25.989164699681766
7,1514,2,78.98916469968177
7,1515,2,26.989164699681766
6,0,2,30.989164699681766
6,2,2,42.989164699681766
7,0,2,25.989164699681766
7,2,2,34.989164699681766
8,0,2,29.989164699681766
8,2,2,38.989164699681766
6,1513,2,27.989164699681766
6,1514,2,24.989164699681766
7,1512,2,26.989164699681766
7,1514,2,78.98916469968177
8,1513,2,27.989164699681766
7,1514,2,78.98916469968177
7,1515,2,26.989164699681766
8,1513,2,27.989164699681766
9,1513,2,23.989164699681766
9,1515,2,20.989164699681766
8,0,2,29.989164699681766
8,2,2,38.989164699681766
9,0,2,30.989164699681766
9,2,2,36.989164699681766
10,0,2,23.989164699681766
10,2,2,50.989164699681766
9,0,2,30.989164699681766
9,2,2,36.989164699681766
10,0,2,23.989164699681766
10,2,2,50.989164699681766
11,0,2,25.989164699681766
11,2,2,38.989164699681766
12,2,2,29.989164699681766
12,4,2,24.989164699681766
13,2,2,39.989164699681766
13,4,2,22.989164699681766
14,2,2,41.989164699681766
14,4,2,23.989164699681766
13,2,2,39.989164699681766
13,4,2,22.989164699681766
14,2,2,41.989164699681766
14,4,2,23.989164699681766
15,2,2,35.989164699681766
13,861,2,30.989164699681766
13,863,2,22.989164699681766
14,862,2,29.989164699681766
14,863,2,28.989164699681766
15,861,2,21.989164699681766
15,863,2,21.989164699681766
14,0,2,30.989164699681766
14,2,2,41.989164699681766
15,0,2,20.989164699681766
15,2,2,35.989164699681766
16,0,2,24.989164699681766
16,2,2,40.989164699681766
18,1310,2,24.989164699681766
18,1311,2,22.989164699681766
18,1312,2,93.98916469968177
19,1310,2,21.989164699681766
19,1312,2,31.989164699681766
18,1311,1,22.989164699681766
18,1312,1,93.98916469968177
19,1312,1,31.989164699681766
18,1312,2,93.98916469968177
18,1314,2,20.989164699681766
19,1312,2,31.989164699681766
19,1314,2,20.989164699681766
17,1494,2,29.989164699681766
18,1493,2,28.989164699681766
18,1494,2,55.989164699681766
19,1493,2,39.989164699681766
19,1494,2,45.989164699681766
17,1494,2,29.989164699681766
18,1493,2,28.989164699681766
18,1494,2,55.989164699681766
19,1493,2,39.989164699681766
19,1494,2,45.989164699681766
19,1495,2,20.989164699681766
18,0,2,28.989164699681766
18,2,2,40.989164699681766
19,0,2,30.989164699681766
19,2,2,39.989164699681766
20,0,2,26.989164699681766
20,2,2,37.989164699681766
18,1310,2,24.989164699681766
18,1311,2,22.989164699681766
18,1312,2,93.98916469968177
19,1310,2,21.989164699681766
19,1312,2,31.989164699681766
20,1310,2,20.989164699681766
20,1312,2,23.989164699681766
18,1312,2,93.98916469968177
18,1314,2,20.989164699681766
19,1312,2,31.989164699681766
19,1314,2,20.989164699681766
20,1312,2,23.989164699681766
20,1314,2,23.989164699681766
18,1493,2,28.989164699681766
18,1494,2,55.989164699681766
19,1493,2,39.989164699681766
19,1494,2,45.989164699681766
20,1492,2,20.989164699681766
23,1338,2,30.989164699681766
24,1337,2,60.989164699681766
24,1338,2,25.989164699681766
25,1337,2,36.989164699681766
24,1323,2,21.989164699681766
24,1324,2,32.989164699681766
24,1325,2,44.989164699681766
25,1324,2,38.989164699681766
25,1325,2,36.989164699681766
24,1335,2,21.989164699681766
24,1337,2,60.989164699681766
25,1337,2,36.989164699681766
26,1336,2,21.989164699681766
26,1337,2,24.989164699681766
24,1337,2,60.989164699681766
24,1338,2,25.989164699681766
25,1337,2,36.989164699681766
26,1336,2,21.989164699681766
26,1337,2,24.989164699681766
29,1254,2,20.989164699681766
29,1255,2,35.989164699681766
29,1256,2,22.989164699681766
30,1255,2,46.989164699681766
30,1256,2,37.989164699681766
29,1255,1,35.989164699681766
29,1256,1,22.989164699681766
30,1255,1,46.989164699681766
30,1256,1,37.989164699681766
29,1254,2,20.989164699681766
29,1255,2,35.989164699681766
29,1256,2,22.989164699681766
30,1255,2,46.989164699681766
30,1256,2,37.989164699681766
29,1255,2,35.989164699681766
29,1256,2,22.989164699681766
30,1255,2,46.989164699681766
30,1256,2,37.989164699681766
31,1257,2,26.989164699681766
37,2,2,43.989164699681766
38,0,2,27.989164699681766
38,2,2,38.989164699681766
39,0,2,23.989164699681766
39,2,2,38.989164699681766
38,0,2,27.989164699681766
38,2,2,38.989164699681766
39,0,2,23.989164699681766
39,2,2,38.989164699681766
40,0,2,23.989164699681766
40,2,2,34.989164699681766
44,1470,2,45.989164699681766
44,1471,2,43.989164699681766
44,1472,2,26.989164699681766
45,1470,2,52.989164699681766
45,1471,2,21.989164699681766
45,1472,2,24.989164699681766
44,1459,2,22.989164699681766
45,1457,2,22.989164699681766
45,1459,2,26.989164699681766
46,1458,2,27.989164699681766
46,1459,2,115.98916469968177
44,1459,2,22.989164699681766
45,1459,2,26.989164699681766
46,1458,2,27.989164699681766
46,1459,2,115.98916469968177
46,1460,2,24.989164699681766
44,1459,2,22.989164699681766
44,1461,2,23.989164699681766
45,1459,2,26.989164699681766
46,1459,2,115.98916469968177
46,1460,2,24.989164699681766
45,1457,2,22.989164699681766
45,1459,2,26.989164699681766
46,1458,2,27.989164699681766
46,1459,2,115.98916469968177
47,1459,2,25.989164699681766
45,1459,2,26.989164699681766
46,1458,2,27.989164699681766
46,1459,2,115.98916469968177
46,1460,2,24.989164699681766
47,1459,2,25.989164699681766
46,1458,2,27.989164699681766
46,1459,2,115.98916469968177
47,1459,2,25.989164699681766
46,1458,2,27.989164699681766
46,1459,2,115.98916469968177
46,1460,2,24.989164699681766
47,1459,2,25.989164699681766
54,2,1,39.989164699681766
55,2,1,32.989164699681766
56,2,1,38.989164699681766
56,4,1,25.989164699681766
63,848,2,26.989164699681766
64,847,2,59.989164699681766
64,848,2,28.989164699681766
65,847,2,39.989164699681766
65,849,2,21.989164699681766
68,0,2,32.989164699681766
68,2,2,33.989164699681766
69,0,2,25.989164699681766
69,2,2,33.989164699681766
70,0,2,32.989164699681766
70,2,2,41.989164699681766
69,0,2,25.989164699681766
69,2,2,33.989164699681766
70,0,2,32.989164699681766
70,2,2,41.989164699681766
71,0,2,31.989164699681766
71,2,2,34.989164699681766
70,0,2,32.989164699681766
70,2,2,41.989164699681766
71,0,2,31.989164699681766
71,2,2,34.989164699681766
72,0,2,28.989164699681766
72,2,2,32.989164699681766
78,519,2,168.98916469968177
78,519,2,168.98916469968177
78,519,2,168.98916469968177
78,519,2,168.98916469968177
89,1438,2,23.989164699681766
90,1437,2,30.989164699681766
90,1438,2,44.989164699681766
91,1437,2,27.989164699681766
91,1438,2,42.989164699681766
91,1256,2,25.989164699681766
92,1254,2,30.989164699681766
92,1255,2,33.989164699681766
93,1254,2,49.989164699681766
93,1255,2,53.989164699681766
109,932,2,141.98916469968177
110,930,2,25.989164699681766
110,932,2,24.989164699681766
118,675,2,26.989164699681766
119,674,2,34.989164699681766
119,675,2,54.989164699681766
119,676,2,27.989164699681766
120,675,2,36.989164699681766
128,1711,2,24.989164699681766
129,1710,2,163.98916469968177
128,1711,2,24.989164699681766
129,1710,2,163.98916469968177
129,1710,2,163.98916469968177
129,1710,2,163.98916469968177
357,1815,2,30.989164699681766
358,1813,2,27.989164699681766
358,1814,2,98.98916469968177
359,1814,2,29.989164699681766
425,1928,3,20.989164699681766
426,1928,3,99.98916469968177
426,1929,3,158.98916469968177
425,1928,3,20.989164699681766
426,1928,3,99.98916469968177
426,1929,3,158.98916469968177
425,1928,3,20.989164699681766
426,1928,3,99.98916469968177
426,1929,3,158.98916469968177
427,1928,3,29.989164699681766
425,1928,3,20.989164699681766
426,1928,3,99.98916469968177
426,1929,3,158.98916469968177
427,1928,3,29.989164699681766
426,1928,3,99.98916469968177
426,1929,3,158.98916469968177
427,1928,3,29.989164699681766
426,1928,3,99.98916469968177
426,1929,3,158.98916469968177
427,1928,3,29.989164699681766
669,705,2,157.98916469968177
861,820,2,65.98916469968177
861,821,2,147.98916469968177
861,820,2,65.98916469968177
861,821,2,147.98916469968177
861,820,2,65.98916469968177
862,819,2,31.989164699681766
862,820,2,133.98916469968177
861,820,4,65.98916469968177
861,821,4,147.98916469968177
862,819,4,31.989164699681766
862,820,4,133.98916469968177
862,821,4,26.989164699681766
861,820,4,65.98916469968177
861,821,4,147.98916469968177
862,820,4,133.98916469968177
862,821,4,26.989164699681766
861,820,2,65.98916469968177
862,819,2,31.989164699681766
862,820,2,133.98916469968177
861,820,4,65.98916469968177
861,821,4,147.98916469968177
862,819,4,31.989164699681766
862,820,4,133.98916469968177
862,821,4,26.989164699681766
861,820,4,65.98916469968177
861,821,4,147.98916469968177
862,820,4,133.98916469968177
862,821,4,26.989164699681766
862,819,2,31.989164699681766
862,820,2,133.98916469968177
862,821,2,26.989164699681766
956,966,2,22.989164699681766
957,965,2,76.98916469968177
957,966,2,85.98916469968177
1280,1656,3,105.98916469968177
1280,1657,3,62.989164699681766
1281,1656,3,65.98916469968177
1281,1657,3,57.989164699681766
1280,1656,3,105.98916469968177
1280,1657,3,62.989164699681766
1281,1656,3,65.98916469968177
1281,1657,3,57.989164699681766
1280,1656,3,105.98916469968177
1280,1657,3,62.989164699681766
1281,1656,3,65.98916469968177
1281,1657,3,57.989164699681766
1280,1656,3,105.98916469968177
1280,1657,3,62.989164699681766
1281,1656,3,65.98916469968177
1281,1657,3,57.989164699681766
1668,1510,2,55.989164699681766
1668,1511,2,31.989164699681766
1669,1510,2,87.98916469968177
1669,1511,2,43.989164699681766
1668,1510,2,55.989164699681766
1668,1511,2,31.989164699681766
1669,1510,2,87.98916469968177
1669,1511,2,43.989164699681766
1668,1510,2,55.989164699681766
1668,1511,2,31.989164699681766
1669,1510,2,87.98916469968177
1669,1511,2,43.989164699681766
1668,1510,2,55.989164699681766
1668,1511,2,31.989164699681766
1669,1510,2,87.98916469968177
1669,1511,2,43.989164699681766
0,0,2,33.989164699681766
0,2,2,41.989164699681766
1,0,2,26.989164699681766
1,2,2,45.989164699681766
2,0,2,21.989164699681766
2,2,2,41.989164699681766
1,0,2,26.989164699681766
1,2,2,45.989164699681766
2,0,2,21.989164699681766
2,2,2,41.989164699681766
3,0,2,26.989164699681766
3,2,2,39.989164699681766
4,0,2,26.989164699681766
4,2,2,39.989164699681766
5,0,2,24.989164699681766
5,2,2,40.989164699681766
6,0,2,30.989164699681766
6,2,2,42.989164699681766
4,2,1,39.989164699681766
5,2,1,40.989164699681766
6,2,1,42.989164699681766
6,4,1,24.989164699681766
5,0,2,24.989164699681766
5,2,2,40.989164699681766
6,0,2,30.989164699681766
6,2,2,42.989164699681766
7,0,2,25.989164699681766
7,2,2,34.989164699681766
5,1516,2,26.989164699681766
6,1514,2,24.989164699681766
6,1515,2,25.989164699681766
7,1514,2,78.98916469968177
7,1515,2,26.989164699681766
6,0,2,30.989164699681766
6,2,2,42.989164699681766
7,0,2,25.989164699681766
7,2,2,34.989164699681766
8,0,2,29.989164699681766
8,2,2,38.989164699681766
7,1514,2,78.98916469968177
7,1515,2,26.989164699681766
8,1513,2,27.989164699681766
9,1513,2,23.989164699681766
9,1515,2,20.989164699681766
8,0,2,29.989164699681766
8,2,2,38.989164699681766
9,0,2,30.989164699681766
9,2,2,36.989164699681766
10,0,2,23.989164699681766
10,2,2,50.989164699681766
9,0,2,30.989164699681766
9,2,2,36.989164699681766
10,0,2,23.989164699681766
10,2,2,50.989164699681766
11,0,2,25.989164699681766
11,2,2,38.989164699681766
13,2,2,39.989164699681766
13,4,2,22.989164699681766
14,2,2,41.989164699681766
14,4,2,23.989164699681766
15,2,2,35.989164699681766
14,0,2,30.989164699681766
14,2,2,41.989164699681766
15,0,2,20.989164699681766
15,2,2,35.989164699681766
16,0,2,24.989164699681766
16,2,2,40.989164699681766
18,1310,2,24.989164699681766
18,1311,2,22.989164699681766
18,1312,2,93.98916469968177
19,1310,2,21.989164699681766
19,1312,2,31.989164699681766
18,1311,1,22.989164699681766
18,1312,1,93.98916469968177
19,1312,1,31.989164699681766
18,0,2,28.989164699681766
18,2,2,40.989164699681766
19,0,2,30.989164699681766
19,2,2,39.989164699681766
20,0,2,26.989164699681766
20,2,2,37.989164699681766
18,1310,2,24.989164699681766
18,1311,2,22.989164699681766
18,1312,2,93.98916469968177
19,1310,2,21.989164699681766
19,1312,2,31.989164699681766
20,1310,2,20.989164699681766
20,1312,2,23.989164699681766
18,1312,2,93.98916469968177
18,1314,2,20.989164699681766
19,1312,2,31.989164699681766
19,1314,2,20.989164699681766
20,1312,2,23.989164699681766
20,1314,2,23.989164699681766
29,1255,1,35.989164699681766
29,1256,1,22.989164699681766
30,1255,1,46.989164699681766
30,1256,1,37.989164699681766
29,1254,2,20.989164699681766
29,1255,2,35.989164699681766
29,1256,2,22.989164699681766
30,1255,2,46.989164699681766
30,1256,2,37.989164699681766
29,1255,2,35.989164699681766
29,1256,2,22.989164699681766
30,1255,2,46.989164699681766
30,1256,2,37.989164699681766
31,1257,2,26.989164699681766
37,2,2,43.989164699681766
38,0,2,27.989164699681766
38,2,2,38.989164699681766
39,0,2,23.989164699681766
39,2,2,38.989164699681766
38,0,2,27.989164699681766
38,2,2,38.989164699681766
39,0,2,23.989164699681766
39,2,2,38.989164699681766
40,0,2,23.989164699681766
40,2,2,34.989164699681766
44,1459,2,22.989164699681766
45,1457,2,22.989164699681766
45,1459,2,26.989164699681766
46,1458,2,27.989164699681766
46,1459,2,115.98916469968177
45,1457,2,22.989164699681766
45,1459,2,26.989164699681766
46,1458,2,27.989164699681766
46,1459,2,115.98916469968177
47,1459,2,25.989164699681766
46,1458,2,27.989164699681766
46,1459,2,115.98916469968177
47,1459,2,25.989164699681766
46,1458,2,27.989164699681766
46,1459,2,115.98916469968177
46,1460,2,24.989164699681766
47,1459,2,25.989164699681766
68,0,2,32.989164699681766
68,2,2,33.989164699681766
69,0,2,25.989164699681766
69,2,2,33.989164699681766
70,0,2,32.989164699681766
70,2,2,41.989164699681766
69,0,2,25.989164699681766
69,2,2,33.989164699681766
70,0,2,32.989164699681766
70,2,2,41.989164699681766
71,0,2,31.989164699681766
71,2,2,34.989164699681766
70,0,2,32.989164699681766
70,2,2,41.989164699681766
71,0,2,31.989164699681766
71,2,2,34.989164699681766
72,0,2,28.989164699681766
72,2,2,32.989164699681766
78,519,2,168.98916469968177
78,519,2,168.98916469968177
78,519,2,168.98916469968177
78,519,2,168.98916469968177
109,932,2,141.98916469968177
110,930,2,25.989164699681766
110,932,2,24.989164699681766
128,1711,2,24.989164699681766
129,1710,2,163.98916469968177
128,1711,2,24.989164699681766
129,1710,2,163.98916469968177
129,1710,2,163.98916469968177
129,1710,2,163.98916469968177
357,1815,2,30.989164699681766
358,1813,2,27.989164699681766
358,1814,2,98.98916469968177
359,1814,2,29.989164699681766
425,1928,3,20.989164699681766
426,1928,3,99.98916469968177
426,1929,3,158.98916469968177
425,1928,3,20.989164699681766
426,1928,3,99.98916469968177
426,1929,3,158.98916469968177
425,1928,3,20.989164699681766
426,1928,3,99.98916469968177
426,1929,3,158.98916469968177
427,1928,3,29.989164699681766
426,1928,3,99.98916469968177
426,1929,3,158.98916469968177
427,1928,3,29.989164699681766
426,1928,3,99.98916469968177
426,1929,3,158.98916469968177
427,1928,3,29.989164699681766
669,705,2,157.98916469968177
861,820,2,65.98916469968177
861,821,2,147.98916469968177
861,820,2,65.98916469968177
861,821,2,147.98916469968177
861,820,2,65.98916469968177
862,819,2,31.989164699681766
862,820,2,133.98916469968177
861,820,2,65.98916469968177
862,819,2,31.989164699681766
862,820,2,133.98916469968177
862,819,2,31.989164699681766
862,820,2,133.98916469968177
862,821,2,26.989164699681766
956,966,2,22.989164699681766
957,965,2,76.98916469968177
957,966,2,85.98916469968177
1,0,2,26.989164699681766
1,2,2,45.989164699681766
2,0,2,21.989164699681766
2,2,2,41.989164699681766
3,0,2,26.989164699681766
3,2,2,39.989164699681766
4,0,2,26.989164699681766
4,2,2,39.989164699681766
5,0,2,24.989164699681766
5,2,2,40.989164699681766
6,0,2,30.989164699681766
6,2,2,42.989164699681766
4,2,1,39.989164699681766
5,2,1,40.989164699681766
6,2,1,42.989164699681766
6,4,1,24.989164699681766
5,0,2,24.989164699681766
5,2,2,40.989164699681766
6,0,2,30.989164699681766
6,2,2,42.989164699681766
7,0,2,25.989164699681766
7,2,2,34.989164699681766
5,1516,2,26.989164699681766
6,1514,2,24.989164699681766
6,1515,2,25.989164699681766
7,1514,2,78.98916469968177
7,1515,2,26.989164699681766
6,0,2,30.989164699681766
6,2,2,42.989164699681766
7,0,2,25.989164699681766
7,2,2,34.989164699681766
8,0,2,29.989164699681766
8,2,2,38.989164699681766
7,1514,2,78.98916469968177
7,1515,2,26.989164699681766
8,1513,2,27.989164699681766
9,1513,2,23.989164699681766
9,1515,2,20.989164699681766
8,0,2,29.989164699681766
8,2,2,38.989164699681766
9,0,2,30.989164699681766
9,2,2,36.989164699681766
10,0,2,23.989164699681766
10,2,2,50.989164699681766
9,0,2,30.989164699681766
9,2,2,36.989164699681766
10,0,2,23.989164699681766
10,2,2,50.989164699681766
11,0,2,25.989164699681766
11,2,2,38.989164699681766
13,2,2,39.989164699681766
13,4,2,22.989164699681766
14,2,2,41.989164699681766
14,4,2,23.989164699681766
15,2,2,35.989164699681766
14,0,2,30.989164699681766
14,2,2,41.989164699681766
15,0,2,20.989164699681766
15,2,2,35.989164699681766
16,0,2,24.989164699681766
16,2,2,40.989164699681766
18,0,2,28.989164699681766
18,2,2,40.989164699681766
19,0,2,30.989164699681766
19,2,2,39.989164699681766
20,0,2,26.989164699681766
20,2,2,37.989164699681766
18,1310,2,24.989164699681766
18,1311,2,22.989164699681766
18,1312,2,93.98916469968177
19,1310,2,21.989164699681766
19,1312,2,31.989164699681766
20,1310,2,20.989164699681766
20,1312,2,23.989164699681766
18,1312,2,93.98916469968177
18,1314,2,20.989164699681766
19,1312,2,31.989164699681766
19,1314,2,20.989164699681766
20,1312,2,23.989164699681766
20,1314,2,23.989164699681766
37,2,2,43.989164699681766
38,0,2,27.989164699681766
38,2,2,38.989164699681766
39,0,2,23.989164699681766
39,2,2,38.989164699681766
44,1459,2,22.989164699681766
45,1457,2,22.989164699681766
45,1459,2,26.989164699681766
46,1458,2,27.989164699681766
46,1459,2,115.98916469968177
46,1458,2,27.989164699681766
46,1459,2,115.98916469968177
46,1460,2,24.989164699681766
47,1459,2,25.989164699681766
68,0,2,32.989164699681766
68,2,2,33.989164699681766
69,0,2,25.989164699681766
69,2,2,33.989164699681766
70,0,2,32.989164699681766
70,2,2,41.989164699681766
69,0,2,25.989164699681766
69,2,2,33.989164699681766
70,0,2,32.989164699681766
70,2,2,41.989164699681766
71,0,2,31.989164699681766
71,2,2,34.989164699681766
70,0,2,32.989164699681766
70,2,2,41.989164699681766
71,0,2,31.989164699681766
71,2,2,34.989164699681766
72,0,2,28.989164699681766
72,2,2,32.989164699681766
78,519,2,168.98916469968177
78,519,2,168.98916469968177
78,519,2,168.98916469968177
78,519,2,168.98916469968177
109,932,2,141.98916469968177
110,930,2,25.989164699681766
110,932,2,24.989164699681766
128,1711,2,24.989164699681766
129,1710,2,163.98916469968177
128,1711,2,24.989164699681766
129,1710,2,163.98916469968177
129,1710,2,163.98916469968177
425,1928,3,20.989164699681766
426,1928,3,99.98916469968177
426,1929,3,158.98916469968177
425,1928,3,20.989164699681766
426,1928,3,99.98916469968177
426,1929,3,158.98916469968177
427,1928,3,29.989164699681766
426,1928,3,99.98916469968177
426,1929,3,158.98916469968177
427,1928,3,29.989164699681766
426,1928,3,99.98916469968177
426,1929,3,158.98916469968177
427,1928,3,29.989164699681766
669,705,2,157.98916469968177
861,820,2,65.98916469968177
861,821,2,147.98916469968177
861,820,2,65.98916469968177
861,821,2,147.98916469968177
861,820,2,65.98916469968177
862,819,2,31.989164699681766
862,820,2,133.98916469968177
861,820,2,65.98916469968177
862,819,2,31.989164699681766
862,820,2,133.98916469968177
862,819,2,31.989164699681766
862,820,2,133.98916469968177
862,821,2,26.989164699681766
